scenario,configuredFailureRate,concurrency,metric,baselineMean,resilientMean,deltaResilientMinusBaseline,pairedBy
f5-payment-succeeds-response-lost,0.05,10,p50LatencyMs,10.366779099967971,14.821383299931767,4.454604199963796,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,10,p95LatencyMs,125.50671660064836,328.6031002007803,203.09638360013196,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,10,p99LatencyMs,511.5209251998749,1525.9206165996147,1014.3996913997398,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,10,throughputTransactionsPerSecond,283.09580632705513,111.68893492977855,-171.40687139727657,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,10,averageRecoveryTimeMs,NA,NA,NA,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,10,p95RecoveryTimeMs,NA,NA,NA,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,10,actualInjectedFailureRate,0.0489,0.0489,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,100,attemptSuccessRate,0.9498,1.0,0.05020000000000002,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,100,logicalTransactionSuccessRate,0.9498,1.0,0.05020000000000002,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,100,terminalFailedLogicalTransactions,502.0,0.0,-502.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,100,nonTerminalLogicalTransactions,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,100,invariantViolationRate,0.0502,0.0,-0.0502,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,100,duplicateOrderRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,100,duplicatePaymentRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,100,orphanedOrderRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,100,recoveryAttemptedRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,100,recoveryCompletedRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
