scenario,mode,backend,repetitionCount,successRateMean,successRateMedian,successRateStd,invariantViolationRateMean,invariantViolationRateMedian,invariantViolationRateStd,duplicatePaymentRateMean,duplicatePaymentRateMedian,duplicatePaymentRateStd,duplicateOrderRateMean,duplicateOrderRateMedian,duplicateOrderRateStd,orphanedOrderRateMean,orphanedOrderRateMedian,orphanedOrderRateStd,recoveryRateMean,recoveryRateMedian,recoveryRateStd,compensationRateMean,compensationRateMedian,compensationRateStd,p50LatencyMean,p50LatencyMedian,p50LatencyStd,p95LatencyMean,p95LatencyMedian,p95LatencyStd,p99LatencyMean,p99LatencyMedian,p99LatencyStd,throughputMean,throughputMedian,throughputStd,averageRetryCountMean,averageRetryCountMedian,averageRetryCountStd,recoveryTimeMean,recoveryTimeMedian,recoveryTimeStd
f2-order-http-500,baseline,services,5,0.9498,0.9491,0.0014370107863199992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.96114589999911,68.71133350000491,0.47559049697498335,113.71013340000218,113.54862500002127,1.4262753698501571,142.42532480000136,141.430583999977,2.695629071977719,684.6015097742124,685.3467244909392,5.9424645224763735,0.0,0.0,0.0,0.0,0.0,0.0
f2-order-http-500,resilient,services,5,0.9498,0.9491,0.0014370107863199992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.90052899998886,119.93297899999789,1.2852813016385647,193.67024140001377,194.64862500001345,1.7992116849247832,233.99504999998726,234.30262499994114,2.873766132781429,399.70813076056663,398.56212337000295,4.084649856236633,0.0,0.0,0.0,0.0,0.0,0.0
f3-payment-http-500,baseline,services,5,0.94886,0.9493,0.0026387497039317455,0.05114,0.0507,0.002638749703931768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.31687929999862,74.64493750001111,1.340874621449905,123.72906639993744,122.99758299991481,2.4870263226150207,155.18270820000453,152.8774580000345,4.815798618057142,627.6068823370897,631.8138940022784,12.39552785808759,0.0,0.0,0.0,0.0,0.0,0.0
f3-payment-http-500,resilient,services,5,0.94886,0.9493,0.0026387497039317455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114,0.0507,0.002638749703931768,130.31215829998928,129.66297899998835,3.1760834367000834,212.5101333999737,213.29470900002434,4.248654605973092,258.7409085999752,261.1215419999553,7.969414505739607,366.1372421806453,367.8116748317483,8.18477477333723,0.0,0.0,0.0,0.0,0.0,0.0
f4-payment-timeout-before-side-effect,baseline,services,5,0.9511,0.9511,0.0023801260470823716,0.0489,0.0489,0.0023801260470823803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.97460830001763,51.409354000043095,6.485475863750267,214.86313340000507,146.78975,173.91761581312977,556.5647085999991,559.1678749999573,8.633088413856365,657.9487984754567,634.7111248381489,66.60709524152382,0.0,0.0,0.0,0.0,0.0,0.0
f4-payment-timeout-before-side-effect,resilient,services,5,0.94718,0.9455,0.004256406935432734,4e-05,0.0,5.4772255750516614e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04976,0.0491,0.002714406012371768,100.88947909997205,115.55137499999546,34.43609168350744,617.6921665999914,382.1162080000704,559.4362122529981,1677.043941799984,1709.10487499998,61.83907753187001,281.23357470882695,253.20171671776689,72.10232989482243,2e-05,0.0,4.47213595499958e-05,0.0,0.0,0.0
f5-payment-succeeds-response-lost,baseline,services,5,0.9498,0.9496,0.0019065675964937646,0.0502,0.0504,0.0019065675964937611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.25393349998285,37.686520999955064,1.411280285795739,360.87049180000577,517.6999170000727,217.76708536755612,543.7405249999301,543.2764580000367,1.8784093110990614,759.3937982549694,762.1952792701911,10.584673392403634,0.0,0.0,0.0,0.0,0.0,0.0
f5-payment-succeeds-response-lost,resilient,services,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.066745699981766,40.68987499999821,1.5337211547023377,967.3857664000025,1531.8671249999625,776.9157744094856,1565.8145413999591,1565.507332999914,1.7984901027529294,401.65765456390676,403.1384171128337,8.585297298194229,0.0,0.0,0.0,0.0,0.0,0.0
f6-order-succeeds-response-lost,baseline,services,5,0.9498,0.9501,0.002347338918861112,0.0502,0.0499,0.002347338918861099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.93747080001027,38.44197900002655,2.4056018382567235,187.89997520001756,105.62870900002963,183.9360801244133,534.3769415999683,534.86437499987,1.750576767112935,758.7611474344549,759.711241588175,15.723903987402917,0.0,0.0,0.0,0.0,0.0,0.0
f6-order-succeeds-response-lost,resilient,services,5,0.99994,1.0,0.00013416407864997261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.03107920002276,41.299000000094566,7.879305850708559,462.54040839999107,135.43941700004325,614.9581893362077,1571.3341084000604,1562.6612080000086,21.970887172216212,393.8700936923552,410.0538702916798,34.155216092539476,0.0,0.0,0.0,0.0,0.0,0.0
f7-duplicate-transaction-request,baseline,services,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.10093759998563,61.163687499970365,0.43781752503477317,99.55331659998592,99.44612499998584,1.2248485193066136,126.22293340000397,126.31179200002407,1.7232610052266741,774.3552588349428,772.5077035895418,5.986560394761415,0.0,0.0,0.0,0.0,0.0,0.0
